gaia_source_id,hip_source_id,mapping_source,angular_distance
5521599549054493696,42570,fis_raw_sky_render_v1,0.01374549
5530670107652889344,38164,fis_raw_sky_render_v1,0.020387858
5537302945910490240,38414,fis_raw_sky_render_v1,0.1151672
5588607120530408832,37853,fis_raw_sky_render_v1,1.5484372
5626529620176041600,42515,fis_raw_sky_render_v1,0.014740396
5642935536248627456,43409,fis_raw_sky_render_v1,0.019919109
5737852561135645952,46191,fis_raw_sky_render_v1,0.017656403
5808612830236138368,80686,fis_raw_sky_render_v1,0.010647211
5826168461855385472,77952,fis_raw_sky_render_v1,0.010647211
5849837854861497856,71908,fis_raw_sky_render_v1,0.009719529
5922299347569528832,85267,fis_raw_sky_render_v1,0.056087665
5949437149987478016,85792,fis_raw_sky_render_v1,0.0061471704
5971289565647972608,82514,fis_raw_sky_render_v1,0.031941634
6005678131793146752,75141,fis_raw_sky_render_v1,0.118562326
6015150905501817472,77634,fis_raw_sky_render_v1,0.19907248
6026152137856166912,82396,fis_raw_sky_render_v1,0.058640268
6053327426740164992,60009,fis_raw_sky_render_v1,0.09518194
6125166320994675456,59449,fis_raw_sky_render_v1,0.12363303
6131930516518662144,61495,fis_raw_sky_render_v1,0.19819263
6165699748417797504,65109,fis_raw_sky_render_v1,0.03179341
6170243926896213120,67457,fis_raw_sky_render_v1,0.059757326
6194563955869054848,64962,fis_raw_sky_render_v1,0.039480917
6195030801635544704,65835,fis_raw_sky_render_v1,0.032527767
6203033940614597504,72010,fis_raw_sky_render_v1,0.07227828
6247207266946218112,78820,fis_raw_sky_render_v1,0.038878117
6309703507861332736,72622,fis_raw_sky_render_v1,0.0030735852
6319542659461082752,74785,fis_raw_sky_render_v1,0.0061471704
6323603052822806784,71469,fis_raw_sky_render_v1,0.15098156
6337717036911729024,71957,fis_raw_sky_render_v1,0.13372745
6407842789021567872,110130,fis_raw_sky_render_v1,0.04600121
6444391655040244992,98608,fis_raw_sky_render_v1,0.037391778
6456322112116572160,103227,fis_raw_sky_render_v1,0.06754898
6458881569025875840,107522,fis_raw_sky_render_v1,0.101288505
6511657371244871680,110468,fis_raw_sky_render_v1,0.13882264
6513525544581729536,112623,fis_raw_sky_render_v1,0.03179341
6539947667988856320,114421,fis_raw_sky_render_v1,0.013397447
6560604777055249536,109268,fis_raw_sky_render_v1,0.06131783
6586825380598949632,108085,fis_raw_sky_render_v1,0.14766009
6664464851576141824,95241,fis_raw_sky_render_v1,0.15666242
6687035763708945792,98032,fis_raw_sky_render_v1,0.20264694
6717964750922730624,94160,fis_raw_sky_render_v1,0.017112998
6762701233364896000,93864,fis_raw_sky_render_v1,0.12073362
6828125061423674752,105881,fis_raw_sky_render_v1,0.14455657
6838023243053666688,106985,fis_raw_sky_render_v1,0.048984885
6875990375999580544,100345,fis_raw_sky_render_v1,0.22843996
6913810483612308480,103393,fis_raw_sky_render_v1,0.24722785
