catalog,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,pm_total_query,cohorts,cohort_ranks,official_best_hip_ids,has_official_best_neighbour,fis_supplemental_hip_ids,has_fis_supplemental_match,any_gaia_hip_hip_ids,has_any_gaia_hip_match,official_neighbourhood_hip_ids
gaia_dr3,4433711099194059904,247.61663676327078,4.17203110145233,2016.0,23.448159926985525,0.019988738,-435.5292179429745,0.022203304,-1393.1797550263404,0.019697245,0.95822483,31,0,False,18,0.123097695,0.03418214,0,0,7.13478,4995.161,7.4159565,2610.105,6.6754284,2553.7725,1.2023739,0.7405281,NOT_AVAILABLE,5844.1934,1459.6696645122393,42.64726968401222,0.0008524651001458198,,0,1459.6696645122393,high_pm,high_pm:220,80837,True,,False,80837,True,80837
gaia_dr3,4446856894574991232,250.51602093548166,10.427821002618836,2016.0,19.678920604032413,0.019806068,-448.66523046294003,0.019722776,-1164.363017399267,0.015143103,1.0840623,31,0,False,20,0.019514434,0.030049454,0,0,14.197057,3851.7417,15.375926,695.7003,13.122159,2025.0093,1.3777074,2.253767,NOT_AVAILABLE,3242.4697,1247.814780050905,50.81579524209726,0.0010064611158881024,,0,1247.814780050905,high_pm,high_pm:337,,False,,False,,False,
gaia_dr3,4465690291808411008,246.30871547504975,15.676354263919535,2016.0,15.43402531433494,0.013525195,128.7515334951745,0.012315039,-1209.9147282858337,0.01114322,1.025847,31,0,False,22,0.069727674,0.020428393,0,0,12.852514,6311.1997,13.706721,1954.3192,11.945346,3505.6042,1.3008939,1.7613754,NOT_AVAILABLE,3892.4075,1216.745909013193,64.79191135388457,0.0008763232626828932,,0,1216.745909013193,high_pm,high_pm:370,,False,,False,,False,
gaia_dr3,4472832130942575872,269.44850252543836,4.739420051112412,2016.0,546.975939730948,0.040116355,-801.5509783684709,0.031820867,10362.394206546573,0.036070455,1.0848505,31,0,False,17,0.20481846,0.056859974,0,0,8.1939745,1553.9851,9.791788,951.9071,6.9580913,1518.3344,1.4803807,2.8336968,NOT_AVAILABLE,3099.6335,10393.348722273944,1.828233981355542,7.334208309573055e-05,,0,10393.348722273944,high_pm;nearest,high_pm:1;nearest:2,87937,True,,False,87937,True,87937
gaia_dr3,4477025122831072768,275.52249410601604,6.344266820214252,2016.0,67.54092303053194,0.025735453,-1190.3867555091729,0.027163366,111.10333323177485,0.024946056,1.1909015,31,0,False,18,0.2159316,0.040962152,1,0,11.382801,2248.3833,12.799602,869.1459,10.206676,1881.9155,1.4402212,2.592926,NOT_AVAILABLE,3300.721,1195.560361649242,14.805838521749976,0.0003810349580143151,,0,1195.560361649242,high_pm,high_pm:391,,False,,False,,False,
gaia_dr3,4484289866726156160,276.2422613916052,12.216546262416147,2016.0,25.020714874169244,0.18359144,-280.10940796564336,0.17616616,-1078.4278231460746,0.16860035,1.0179943,95,0,False,19,0.0,0.27112398,0,0,18.527205,525.78894,19.260303,35.478992,17.717615,80.397736,1.2564268,1.5426884,NOT_AVAILABLE,,1114.2117618148018,39.96688364137728,0.007337577732822899,,0,1114.2117618148018,high_pm,high_pm:480,,False,,False,,False,
gaia_dr3,4485574134969389312,275.3683665207943,14.23247324605056,2016.0,107.03389973358114,0.18557437,227.57135828617876,0.18187065,-247.228687615943,0.1982612,1.155821,95,0,False,20,0.9776832,0.3080005,0,0,18.652378,512.12634,21.348124,7.4861016,17.059792,162.53076,1.8854871,4.288332,NOT_AVAILABLE,,336.0219443615519,9.342834396290403,0.0017337905850792802,,0,,nearest,nearest:257,,False,,False,,False,
gaia_dr3,4497414466452138496,274.2750771257661,13.468650786638403,2016.0,66.11036115185362,0.043105718,-436.211602734623,0.036264557,-1115.5534172245984,0.039038893,1.0202123,31,0,False,16,0.0605499,0.05564073,0,0,15.615121,2498.7207,16.108557,244.74887,14.958063,739.9358,1.2313235,1.1504936,NOT_AVAILABLE,,1197.8063236774915,15.126222010843783,0.0006520266565991212,,0,1197.8063236774915,high_pm,high_pm:390,,False,,False,,False,
gaia_dr3,4505805591300126080,280.6872687939103,13.906220985923317,2016.0,91.46437521554849,0.02833133,-31.03043266944882,0.028917162,354.24853724040906,0.030147433,1.2275623,31,0,False,19,0.24948122,0.044212807,1,0,11.40063,1343.263,13.058919,268.6782,10.151707,571.0731,1.4872364,2.9072123,NOT_AVAILABLE,,355.6049969961371,10.933218508773075,0.0003097526220377168,,0,,nearest,nearest:411,,False,,False,,False,
gaia_dr3,4514347014282093312,287.45898037907256,17.66656000356141,2016.0,97.24179738400261,0.044807963,-640.5629974185198,0.034519218,-424.0980571474773,0.03860285,0.88257813,95,0,False,21,0.40734354,0.056622386,4,0,11.950281,2125.1257,13.774016,680.7544,10.655545,1842.3381,1.5222944,3.1184711,NOT_AVAILABLE,,768.2318111989789,10.28364373039151,0.00046078912852987904,,0,,nearest,nearest:338,,False,,False,,False,
