catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,brightest,101,85696,,5,0,262.69099525,-37.29574034,5.66,0.18,-2.37,-30.09,2.6043,-0.179,HIP1,30.18319068620811,176.67845,0.03180212,,0
hipparcos2,brightest,102,28380,P,5,0,89.93015902,37.21276398,19.7,0.16,43.63,-73.79,2.6103,-0.083,HIP1,85.723631514303,50.76142,0.008121827,hip_component_flag,1
hipparcos2,brightest,103,61585,,5,0,189.29618221,-69.13553368,10.34,0.11,-40.2,-12.8,2.6109,-0.176,HIP1,42.188624059099155,96.7118,0.010638298,,0
hipparcos2,brightest,104,26634,,7,0,84.91224966,-34.07404939,12.48,0.36,1.58,-24.82,2.6124,-0.12,HIP1,24.870239242918434,80.128204,0.028846156,hip_solution_type_not_5,1
hipparcos2,brightest,105,14135,P,5,0,45.56991317,4.08992556,13.09,0.44,-10.41,-76.85,2.6196,1.63,HIP1,77.55185748903762,76.394196,0.033613443,hip_component_flag,1
hipparcos2,brightest,106,93506,W,17,3,285.65301241,-29.88011461,36.98,0.87,10.79,21.11,2.6212,0.062,HIP1,23.707724479586815,27.041645,0.02352623,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,107,25985,,5,0,83.18255807,-17.82229214,1.47,0.14,3.56,1.18,2.6426,0.211,HIP1,3.7504666376332425,680.2721,0.0952381,,0
hipparcos2,brightest,108,102488,,5,0,311.55180082,33.96945339,44.86,0.12,355.66,330.6,2.6429,1.021,HIP1,485.5825322228962,22.291573,0.0026749887,,0
hipparcos2,brightest,109,52419,,75,4,160.73927812,-64.39447946,7.16,0.21,-18.36,12.03,2.6536,-0.22,HIP1,21.950182231589785,139.66481,0.02932961,hip_solution_type_not_5,1
hipparcos2,brightest,110,26241,,5,0,83.85825448,-5.90989986,1.4,0.22,1.42,-0.46,2.6706,-0.21,HIP1,1.4926486525636231,714.2857,0.15714286,parallax_frac_error_gt_0p1,1
hipparcos2,brightest,111,76297,,15,3,233.78525188,-41.16669506,7.75,0.5,-15.62,-25.43,2.7,-0.216,HIP1,29.844083165679592,129.03226,0.06451613,hip_solution_type_not_5,1
hipparcos2,brightest,112,8903,P,75,4,28.65978905,20.80829983,55.6,0.58,98.74,-110.41,2.7044,0.165,HIP1,148.1214221508827,17.985613,0.010431655,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,113,59747,P,5,0,183.78648746,-58.74890175,9.45,0.15,-35.81,-10.36,2.7066,-0.193,HIP1,37.278488435021075,105.82011,0.015873017,hip_component_flag,1
hipparcos2,brightest,114,6686,P,5,0,21.45251246,60.23540367,32.81,0.14,296.57,-49.22,2.7146,0.16,HIP1,300.6266343822516,30.478512,0.0042669917,hip_component_flag,1
hipparcos2,brightest,115,81266,,1,0,248.97066417,-28.2159616,6.88,0.53,-9.89,-22.83,2.7374,-0.206,HIP1,24.880132636302402,145.34883,0.077034876,hip_solution_type_not_5,1
hipparcos2,brightest,116,1067,,1,1,3.30895847,15.1836161,8.33,0.53,1.98,-9.28,2.7544,-0.19,HIP1,9.488877699707167,120.04802,0.06362545,hip_solution_type_not_5,1
hipparcos2,brightest,117,65109,,5,0,200.15027327,-36.71208083,55.49,0.17,-341.11,-86.14,2.7717,0.068,HIP1,351.8183220072542,18.021265,0.003063615,,0
hipparcos2,brightest,118,85792,P,1,0,262.96050685,-49.87598163,12.2,0.85,-33.27,-67.22,2.7869,-0.136,HIP1,75.0028086140779,81.96722,0.06967214,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,119,72622,,5,0,222.71990516,-16.04161027,43.03,0.19,-105.68,-68.4,2.7892,0.147,HIP1,125.88416262580454,23.239601,0.004415524,,0
hipparcos2,brightest,120,67927,,75,4,208.67131829,18.3985867,87.75,1.24,-60.95,-356.29,2.7957,0.58,HIP1,361.46571981309654,11.396011,0.014131054,hip_solution_type_not_5,1
hipparcos2,brightest,121,77070,,5,0,236.06664895,6.42551977,44.1,0.19,133.84,44.81,2.7971,1.167,HIP1,141.14206212182108,22.675737,0.00430839,,0
hipparcos2,brightest,122,61359,,5,0,188.59680889,-23.39662293,22.39,0.18,1.11,-56.56,2.8099,0.893,HIP1,56.57089092457357,44.662796,0.008039304,,0
hipparcos2,brightest,123,61941,,17,3,190.41667567,-1.44952191,85.58,0.6,-614.76,61.34,2.8213,0.368,HIP1,617.8126359989734,11.684973,0.0070109842,hip_solution_type_not_5,1
hipparcos2,brightest,124,23875,,1,0,76.96264165,-5.08626273,36.5,0.42,-82.82,-75.39,2.8258,0.161,HIP1,111.99466281926117,27.39726,0.011506849,hip_solution_type_not_5,1
hipparcos2,brightest,125,78265,,1,0,239.71300274,-26.11404273,5.57,0.64,-11.42,-26.83,2.8274,-0.18,HIP1,29.159308976723025,179.5332,0.11490125,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,brightest,126,79593,,5,0,243.58652632,-3.69397565,19.06,0.16,-47.54,-142.73,2.8283,1.584,HIP1,150.43903914875287,52.4659,0.008394544,,0
hipparcos2,brightest,127,35264,P,15,3,109.28568388,-37.09748688,4.04,0.33,-10.05,6.47,2.8296,1.616,HIP1,11.952547845543226,247.52475,0.081683174,hip_solution_type_not_5;hip_component_flag,2
hipparcos2,brightest,128,52727,,17,3,161.69217532,-49.42012503,27.84,0.38,63.22,-54.21,2.8299,0.901,HIP1,83.27960434584209,35.91954,0.0136494255,hip_solution_type_not_5,1
hipparcos2,brightest,129,23015,,5,0,74.24840149,33.16613574,6.61,0.38,6.79,-14.88,2.8337,1.49,HIP1,16.35599278552054,151.28593,0.05748865,,0
hipparcos2,brightest,130,18532,,5,0,59.46342225,40.01027312,5.11,0.23,14.06,-23.78,2.8348,-0.199,HIP1,27.625567867466543,195.69472,0.045009784,,0
