catalog,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count,cohorts,cohort_ranks,official_best_gaia_ids,has_official_best_neighbour,fis_supplemental_gaia_ids,has_fis_supplemental_match,any_gaia_hip_gaia_ids,has_any_gaia_hip_match,official_neighbourhood_gaia_ids
hipparcos2,86929,,5,0,266.43334328,-64.72373456,9.26,0.18,-11.96,-56.57,3.77,1.161,HIP1,57.820467829307646,107.991356,0.019438446,,0,brightest,brightest:361,5909069886210174080,True,,False,5909069886210174080,True,5909069886210174080
hipparcos2,86974,,5,0,266.6154953,27.72249916,120.33,0.16,-291.66,-749.6,3.5596,0.75,HIP1,804.3417902856969,8.310479,0.0013296767,,0,nearest;brightest;high_pm,nearest:121;brightest:285;high_pm:343,,False,4594497769766809216,True,4594497769766809216,True,
hipparcos2,86990,,5,0,266.64766142,-57.31575515,171.48,2.31,-1119.14,-1352.78,10.7573,1.66,HIP1,1755.7015885394649,5.831584,0.013470959,,0,nearest;high_pm,nearest:61;high_pm:61,5918660719983560192,True,,False,5918660719983560192,True,5918660719983560192
hipparcos2,87073,,5,0,266.89617134,-40.12698187,1.69,0.15,0.01,-6.24,3.1092,0.509,HIP1,6.240008012815369,591.71594,0.088757396,,0,brightest,brightest:180,5958043164999014400,True,,False,5958043164999014400,True,5958043164999014400
hipparcos2,87108,,5,0,266.97322551,2.70745866,31.73,0.21,-24.64,-74.42,3.7637,0.043,HIP1,78.39302264870261,31.515917,0.0066183424,,0,brightest,brightest:355,4472097420946809600,True,,False,4472097420946809600,True,4472097420946809600
hipparcos2,87261,,5,0,267.46437979,-37.04337108,25.92,0.15,40.59,27.24,3.3521,1.192,HIP1,48.88318422525276,38.580246,0.0057870373,,0,brightest,brightest:235,,False,4039970797062166400,True,4039970797062166400,True,
hipparcos2,87585,,5,0,268.3817895,56.87245205,28.98,0.12,93.82,78.5,3.8948,1.177,HIP1,122.32923771527393,34.506557,0.004140787,,0,brightest,brightest:418,1421593566062037120,True,,False,1421593566062037120,True,1421593566062037120
hipparcos2,87808,,5,0,269.06324411,37.25052159,4.33,0.13,2.67,6.47,4.0284,1.35,HIP1,6.999271390652029,230.94688,0.030023094,,0,brightest,brightest:496,4609802834185436928,True,,False,4609802834185436928,True,4609802834185436928
hipparcos2,87833,,5,0,269.15157428,51.48895101,21.14,0.1,-8.48,-22.79,2.3617,1.521,HIP1,24.31654786354346,47.30369,0.004730369,,0,brightest,brightest:80,,False,,False,,False,
hipparcos2,87933,,5,0,269.44096081,29.24792539,23.84,0.15,82.44,-18.73,3.8533,0.935,HIP1,84.54091612941038,41.94631,0.0062919464,,0,brightest,brightest:398,4584613194593381888,True,,False,4584613194593381888,True,4584613194593381888
hipparcos2,87937,,5,0,269.45402263,4.66828781,548.31,1.51,-798.58,10328.12,9.4901,1.57,HIP1,10358.947473117141,1.8237858,0.0027539167,,0,high_pm;nearest,high_pm:1;nearest:4,4472832130942575872,True,,False,4472832130942575872,True,4472832130942575872
hipparcos2,87938,,5,0,269.46241143,46.58724119,70.99,1.86,-16.57,580.06,11.7318,1.56,HIP1,580.2966211343987,14.086492,0.026200874,,0,nearest,nearest:413,1350714133093019904,True,,False,1350714133093019904,True,1350714133093019904
hipparcos2,88048,,5,0,269.75665635,-9.77334967,21.64,0.26,-9.48,-116.69,3.4871,0.987,HIP1,117.07444853596364,46.210724,0.012014788,,0,brightest,brightest:265,4164319171172759040,True,,False,4164319171172759040,True,4164319171172759040
