catalog,source_id,cohorts,cohort_ranks,quality_flags,quality_flag_count,pm_total_masyr,r_pc_parallax,parallax_frac_error,phot_g_mean_mag,ruwe,duplicated_source,non_single_star,official_best_hip_ids,fis_supplemental_hip_ids,any_gaia_hip_hip_ids,has_fis_supplemental_match,has_any_gaia_hip_match,official_neighbourhood_hip_ids,Hpmag,Sn,n_HIP,official_best_gaia_ids,fis_supplemental_gaia_ids,any_gaia_hip_gaia_ids,official_neighbourhood_gaia_ids
gaia_dr3,35845938787261952,brightest,brightest:430,astrometric_params_not_31_or_95;ipd_frac_multi_peak_gt_10;phot_variable,3,,,,3.7192929,,False,0.0,13654,,13654,False,True,13654,,,,,,,
gaia_dr3,66714384142368256,brightest,brightest:131,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.896132,,False,0.0,17702,,17702,False,True,17702,,,,,,,
gaia_dr3,144711230753602048,high_pm,high_pm:306,ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,3,1288.7637841019769,59.713949794714104,0.03549544816023865,19.120424,1.748684,False,1.0,,,,False,False,,,,,,,,
gaia_dr3,168726523212358272,brightest,brightest:110,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,11.682426448292668,259.366326421074,0.10812210180852001,2.8219895,2.690974,False,0.0,18246,,18246,False,True,18246,,,,,,,
gaia_dr3,200929706966014976,brightest,brightest:186,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,22.796051464493285,702.059631015419,0.21412289896033745,3.1632786,5.5812616,False,0.0,,23453,23453,True,True,,,,,,,,
gaia_dr3,205499655242974464,brightest,brightest:114,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,3.1894790188926736,1012.2668193835478,0.181352925544491,2.847648,1.7086848,False,0.0,23416,,23416,False,True,23416,,,,,,,
gaia_dr3,308256610357824640,high_pm,high_pm:95,ruwe_gt_1p4;astrometric_excess_noise_gt_1;non_single_star,3,1926.7723899985892,12.511533703971056,0.0031878950596407993,12.949484,7.5190654,False,1.0,,,,False,False,,,,,,,,
gaia_dr3,329384516560293248,brightest,brightest:154,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,3.0077727,,False,0.0,,10064,10064,True,True,,,,,,,,
gaia_dr3,423018377034969216,brightest,brightest:23,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3,,,,2.232691,,False,0.0,,746,746,True,True,,,,,,,,
gaia_dr3,527956488340229632,high_pm;nearest,high_pm:115;nearest:299,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,1782.5368026104466,9.892524908817453,0.0045579456077496725,9.566636,5.8858223,False,0.0,,2552,2552,True,True,,,,,,,,
gaia_dr3,583151353574583552,brightest,brightest:217,astrometric_params_not_31_or_95;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,,,,3.2565942,,False,0.0,,,,False,False,,,,,,,,
gaia_dr3,622052899598187392,brightest,brightest:314,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3,1.295537150912157,556.6318245582504,0.16980605420299177,3.4907143,3.7382743,False,0.0,49583,,49583,False,True,49583,,,,,,,
