catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,brightest,153,2896572746685604480,95.07833734068376,-30.06334878363528,2016.0,9.49220621127137,0.44793272,6.084451056045602,0.43849596,4.247413057587071,0.5059429,5.2210016,95,0,False,17,2.8986232,0.8252699,0,0,3.0076509,336.73428,3.2022843,29.991972,3.132525,447.9384,0.98140013,0.06975937,NOT_AVAILABLE,,7.420314166878354,105.34958657056627,0.04718952688284791,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,154,329384516560293248,32.38675355041934,34.98711988193324,2016.0,,,,,,,,3,0,False,7,1.8933938,1.6237755,0,0,3.0077727,329.44818,3.2790139,36.814766,2.8457408,124.54945,1.0535823,0.43327308,NOT_AVAILABLE,,,,,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1,3
gaia_dr3,brightest,155,6586825380598949632,328.4827688631597,-37.36494848913747,2016.0,17.808001236182314,0.5145055,110.44546730080081,0.56349945,-17.160865664665714,0.6432569,2.2798417,95,0,False,15,2.5250542,1.3218786,0,0,3.0138354,454.39197,3.1784723,39.377163,3.0480762,406.62088,1.0310464,0.13039613,NOT_AVAILABLE,,111.77073211558097,56.15453338851971,0.02889181659064892,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,156,757565233820538752,169.61959969105789,33.0944300347131,2016.0,7.982310491470233,0.48245052,-26.138812034262333,0.19426958,27.891993400528,0.15388206,2.2579427,95,0,False,12,0.9681593,0.5186376,1,0,3.0204449,583.61633,3.946077,40.51212,2.3562465,98.20162,1.0852362,1.5898306,NOT_AVAILABLE,,38.22565618034038,125.27701109454257,0.060439958524208415,ruwe_gt_1p4,1
gaia_dr3,brightest,157,1696877570753454208,230.1818712785812,71.83410165777194,2016.0,6.595867221744522,0.29434487,-15.907549565254666,0.32025126,17.145613499942602,0.29657686,4.681328,95,0,False,13,2.044896,0.45916426,1,0,3.0218675,371.80222,3.3333654,31.495388,2.870426,223.3007,1.0282772,0.4629395,NOT_AVAILABLE,,23.38850562691956,151.6100864952695,0.0446256515391772,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,158,1487434040320076800,218.01881769228896,38.30892269460632,2016.0,37.91254655500852,0.25500512,-114.34365542209365,0.15855806,151.78788107079836,0.23662283,2.589434,95,0,False,25,1.8748188,0.3595945,0,0,3.022188,575.0441,3.2927387,64.88433,2.812904,249.23752,1.0756792,0.4798348,NOT_AVAILABLE,7139.405,190.0369237154962,26.376492503585013,0.006726140668527346,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,159,5614471482318442240,117.32353878305732,-24.859795343600315,2016.0,3.0058993777046874,0.13170332,-3.6099999850539417,0.082302384,-2.5793914773125874,0.13027364,3.3978071,95,0,False,23,1.0914214,0.18038557,0,0,3.0238004,1164.2192,3.788093,87.36788,2.458798,126.22823,1.0670102,1.3292952,NOT_AVAILABLE,,4.436818712244424,332.6791333792426,0.0438149454177484,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,brightest,160,2921635736292220800,105.75612410219094,-23.833277071923618,2016.0,0.8714895713272475,0.3319453,-1.3350715991353828,0.21694177,3.803012292601722,0.31094125,3.6187544,95,0,False,22,2.2640848,0.43916538,0,0,3.0407002,433.41647,3.1437898,56.078487,3.0437024,294.39627,1.0792989,0.100087404,NOT_AVAILABLE,,4.03054818511052,1147.460661493672,0.38089417363502476,ruwe_gt_1p4;parallax_frac_error_gt_0p1;astrometric_excess_noise_gt_1,3
gaia_dr3,brightest,161,5786929090848333568,211.33111350491527,-76.79690699917452,2016.0,8.380805497629552,0.35742953,-88.58553009373166,0.41828284,-32.65504168156829,0.43769482,2.6450868,95,0,False,17,2.5023215,0.6567785,33,0,3.0503223,91.16611,5.747675,22.922712,2.2224638,48.21262,0.9627765,3.525211,VARIABLE,,94.41264687112844,119.32027300751014,0.042648589601315755,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;phot_variable,4
gaia_dr3,brightest,162,2162316545207257600,316.2328118253326,43.9278571769806,2016.0,2.836313901245389,0.12691922,10.061681773655254,0.12111677,0.8611772003377918,0.11672953,2.2931619,95,0,False,21,1.0511081,0.17052265,4,0,3.0638983,822.2498,4.0959435,79.9207,2.3591247,76.64337,1.0859213,1.7368188,NOT_AVAILABLE,,10.098468511843167,352.5702848196431,0.04474794725737352,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
