catalog,cohort,cohort_rank,HIP,n_HIP,Sn,So,RArad,DErad,Plx,e_Plx,pmRA,pmDE,Hpmag,B-V,HIP1,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
hipparcos2,high_pm,382,39402,,55,3,120.82992846,52.84557079,31.87,3.39,362.42,-676.32,11.4223,1.49,HIP1,767.3050233121115,31.37747,0.10636963,parallax_frac_error_gt_0p1;hip_solution_type_not_5,2
hipparcos2,high_pm,383,24301,,5,0,78.22170033,19.72380729,28.62,3.28,367.74,-672.2,9.9516,1.064,HIP1,766.2150792042663,34.9406,0.114605166,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,384,50125,,5,0,153.48874794,52.508575,43.3,1.36,86.28,-760.67,9.6627,1.112,HIP1,765.5475735053961,23.094688,0.031408776,,0
hipparcos2,high_pm,385,60398,,5,0,185.75439438,64.02991852,54.54,2.03,-668.12,372.37,11.6231,1.61,HIP1,764.881527623723,18.335167,0.03722039,,0
hipparcos2,high_pm,386,61317,,5,0,188.4378855,41.35676763,118.49,0.2,-704.75,292.74,4.3682,0.588,HIP1,763.1312273128391,8.439531,0.0016879062,,0
hipparcos2,high_pm,387,54639,,5,2,167.75138079,6.42110112,15.69,2.75,-567.16,-509.01,11.5215,0.734,HIP1,762.0771914314192,63.734863,0.17527089,parallax_frac_error_gt_0p1,1
hipparcos2,high_pm,388,68527,G,5,2,210.43494686,8.92332842,9.62,2.29,154.1,-746.21,11.7297,0.746,HIP1,761.9554935165177,103.9501,0.23804574,parallax_frac_error_gt_0p1;hip_component_flag,2
hipparcos2,high_pm,389,22762,,7,0,73.45720746,-17.77185271,82.52,2.4,408.07,-642.82,10.9305,1.547,HIP1,761.4057244991004,12.118275,0.029083861,hip_solution_type_not_5,1
hipparcos2,high_pm,390,65201,,55,3,200.43484147,-39.3113406,14.66,1.37,-753.37,104.52,8.9048,0.45,HIP1,760.5858184978208,68.21282,0.09345157,hip_solution_type_not_5,1
hipparcos2,high_pm,391,80268,,5,1,245.78276651,-24.70814032,60.83,2.06,-348.4,-675.73,10.2833,1.458,HIP1,760.258898599681,16.439257,0.033864867,,0
hipparcos2,high_pm,392,114971,,5,0,349.28955639,3.28224514,23.64,0.18,759.82,17.77,3.8482,0.916,HIP1,760.0277661375275,42.301186,0.0076142135,,0
hipparcos2,high_pm,393,3497,,5,0,11.16268443,-65.64771788,45.34,0.32,157.49,-742.32,6.6788,0.655,HIP1,758.8425940206573,22.05558,0.0070577855,,0
hipparcos2,high_pm,394,28754,,5,0,91.08191584,-55.31384243,35.25,2.65,676.81,339.38,12.2561,1.458,HIP1,757.1331194050356,28.368793,0.075177304,,0
hipparcos2,high_pm,395,78400,,1,1,240.08324264,-16.53238016,28.4,1.23,-631.32,-417.38,5.572,0.517,HIP1,756.8163626666644,35.21127,0.04330986,hip_solution_type_not_5,1
hipparcos2,high_pm,396,3206,,5,0,10.2041582,40.18879922,57.71,0.8,355.07,-668.18,7.5023,0.937,HIP1,756.6632125985774,17.32802,0.013862416,,0
hipparcos2,high_pm,397,115610,,5,0,351.2980031,34.28895656,25.57,1.34,-297.34,-695.59,9.4854,0.967,HIP1,756.4763867431686,39.10833,0.052405164,,0
