catalog,cohort,cohort_rank,source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,astrometric_params_solved,non_single_star,duplicated_source,visibility_periods_used,astrometric_excess_noise,astrometric_sigma5d_max,ipd_frac_multi_peak,ipd_frac_odd_win,phot_g_mean_mag,phot_g_mean_flux_over_error,phot_bp_mean_mag,phot_bp_mean_flux_over_error,phot_rp_mean_mag,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,bp_rp,phot_variable_flag,teff_gspphot,pm_total_masyr,r_pc_parallax,parallax_frac_error,quality_flags,quality_flag_count
gaia_dr3,nearest,54,3195919254111314816,63.82965602087436,-7.670903382610344,2016.0,199.45161859738874,0.069206245,-2247.1829426127065,0.06516677,-3409.8237087898747,0.053521328,1.5311921,95,0,False,18,0.5614569,0.09145547,0,0,9.775309,1095.7296,11.490885,686.8615,8.501209,1737.293,1.5103394,2.9896755,NOT_AVAILABLE,,4083.715085874018,5.013747228688032,0.00034698262029774976,ruwe_gt_1p4,1
gaia_dr3,nearest,55,1934263333784036736,341.7028254522359,44.3319533233193,2016.0,197.95730094675557,0.021990642,-706.2158109750716,0.017996477,-458.9196274161519,0.02047953,1.104833,31,0,False,25,0.18515012,0.031341486,0,0,9.005235,1982.6207,10.522137,380.58688,7.7919774,1256.2557,1.4661624,2.7301593,NOT_AVAILABLE,,842.2279953189384,5.0515944358575045,0.00011108780452344004,,0
gaia_dr3,nearest,56,660597997697274752,134.5586915113887,19.76257888198771,2016.0,196.2619260343735,0.19761291,-937.1328356544882,0.1901644,-34.559036887716566,0.13755071,3.5390558,31,0,False,18,1.1819001,0.2977367,10,0,12.48557,884.8689,15.062966,234.03621,11.024552,190.81001,1.6841909,4.038414,NOT_AVAILABLE,,937.7698431344594,5.095231766067857,0.001006883583870331,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,nearest,57,4468557611977674496,271.36591160903725,2.4941987580927343,2016.0,195.85633153170514,0.25345382,333.2920983081072,0.26375088,-1068.353909555673,0.21460679,3.7063498,31,0,False,11,1.0237515,0.43055752,0,0,5.5392184,1572.5392,6.2211246,448.55438,4.73547,631.94226,1.2694895,1.4856548,NOT_AVAILABLE,,1119.1352460080561,5.105783367734121,0.0012940803034636815,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,nearest,58,4468557611984384512,271.364453818457,2.495224095912567,2016.0,195.5673545594233,0.19638827,206.52500310614036,0.24627137,-1107.4919291637984,0.1637304,3.2666097,95,0,False,14,1.1491657,0.3433602,0,0,3.987364,908.22107,4.409446,255.6732,3.4057531,450.8964,1.210839,1.0036926,NOT_AVAILABLE,5204.636,1126.5837519114782,5.113327846832172,0.0010041976324405202,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2
gaia_dr3,nearest,59,660597997696173440,134.55918967906837,19.762959843487355,2016.0,194.14430904826264,0.12283384,-767.0604915466433,0.122229315,-100.17647831567064,0.08311987,2.5737846,31,0,False,19,0.85176545,0.17663659,7,0,11.96628,1182.0095,14.323954,304.0286,10.547036,245.27124,1.6383189,3.7769175,NOT_AVAILABLE,,773.5742527382282,5.150807689920019,0.0006326934904821583,ruwe_gt_1p4,1
gaia_dr3,nearest,60,1695191332232990720,226.70263614661923,70.46161913358111,2016.0,193.9412326077981,0.6277344,-1194.1792240272916,0.7220219,1042.1942136101118,0.8361542,1.3111067,95,0,False,24,4.5216527,1.180133,0,0,20.199528,129.57841,21.771992,4.988123,18.33195,38.246098,2.521355,3.4400425,NOT_AVAILABLE,,1585.0024599289502,5.156201115944601,0.0032367249307586154,astrometric_excess_noise_gt_1,1
gaia_dr3,nearest,61,3316364602541746048,90.01597644159976,2.7063740799024933,2016.0,192.01346218785218,0.03095804,309.14624371351175,0.033973638,-40.36843064589449,0.024125101,1.0857981,31,0,False,16,0.18574862,0.048250947,4,0,9.901327,2171.881,11.5446415,559.3599,8.654313,1448.6788,1.4870876,2.8903284,NOT_AVAILABLE,3138.287,311.7707654591533,5.207968173719361,0.0001612284854058653,,0
gaia_dr3,nearest,62,5278042880077383040,124.37351805519963,-61.91613022264878,2016.0,191.83624032785028,0.41861156,-156.45124641826038,0.5067487,1099.3657696844996,0.5030782,1.2428653,95,0,False,25,2.7510154,0.7406942,0,0,20.009703,159.70735,21.742388,6.128933,18.231085,50.723278,2.313029,3.511303,NOT_AVAILABLE,,1110.4422938900605,5.21277939085435,0.0021821296934102148,astrometric_excess_noise_gt_1,1
gaia_dr3,nearest,63,1129149723913123456,176.9394079814786,78.69329745305299,2016.0,190.32514271529305,0.019362431,748.4182886031707,0.023584152,480.80430000482306,0.025972635,1.284949,31,0,False,26,0.19773406,0.0360228,2,0,9.551337,1995.6555,11.049281,938.6282,8.347287,2376.4238,1.4584558,2.701994,NOT_AVAILABLE,3056.1953,889.5519712860103,5.254166557993327,0.00010173343754434388,,0
