source_id,original_ext_source_id,angular_distance,score,xm_flag
3478394889483944320,56343,0.0033765535,16.105976360726185,8
2106630885454013184,92862,0.009587688,13.60201476364451,8
2011251030583236352,116085,0.0022494749,10.76853615081328,8
2185710338703934976,98906,0.009937085,11.276393285238612,8
3339921875389105152,26335,0.00035944977,18.295491878964043,8
2315550051916217856,2210,0.012067184,15.019997519900365,8
2199493438511811712,109492,0.008327948,11.942222935431914,8
2154880616774131712,91772,0.09728249,9.275062462935564,72
3409711211681795584,21932,0.0052316324,13.314354428639659,8
2246206567973292160,101180,0.0022407835,16.119549054772765,8
2022881668925464320,95771,0.0035766952,13.44664964911415,8
3220756843825383936,25930,0.0620545,7.848370919011201,16
2560771312759450496,8051,0.0011407291,19.26219304592815,8
3296329370379163520,22957,0.006320238,15.015657561293533,8
3519785523672576384,60559,0.0089858435,10.447322124128693,72
2996171698248699904,27288,0.004346567,15.317861986554972,8
3561350430457837056,55282,0.01816944,10.20962993064098,8
3553136288324444544,53740,0.0071067,14.956371091037425,8
2079784488001577600,97165,0.028603392,10.581493627029234,8
2683023811628007296,108782,0.0006641583,18.809277217623382,8
2828928008202069376,113296,0.0024249912,16.462266691449063,8
2817999068780218368,115332,0.008160694,11.937253326883402,8
2769202742740232960,1067,0.04206955,7.187677414209212,8
3334901543952614528,26366,0.00416445,14.902200050567485,8
3736865265441207424,63608,0.013211795,14.427489231227307,8
3338097377577012480,25578,0.009459562,12.069601947483195,8
3041619014955371392,37447,0.007105752,12.364530697059106,8
2603370653827638656,112716,0.015302731,9.63580339543682,8
3536123338748976256,54532,0.00047402098,18.633767168034453,8
1988193348344678656,111169,0.0045139324,13.37382593889882,8
3139847906307949696,36208,0.009412387,8.962503021798398,72
3288921720025503360,22449,0.008015933,14.473153558517334,8
3340477717172813568,26857,0.033982802,8.81278616101312,72
3490322803937287680,57613,0.0069152378,14.997429301470106,8
2896572746685604480,30122,0.02975097,9.10358452451794,8
2195115561168483712,102422,0.0065539456,14.057856890725963,8
2552925644460225152,3765,0.0006480391,19.100688520271536,8
3136952686035250688,37766,0.0048899762,13.362062629934838,8
3305012316783533056,18724,0.0033433922,15.319385099974612,8
3689602277083844480,62687,0.0010476058,19.545804515426834,8
3360277997443303424,34909,0.018067447,7.252947410479176,8
3101923001490347392,32984,0.003590242,5.1979524965355095,8
3630035787972473600,65877,0.0052281036,16.536134463459543,8
2470140321630664064,5364,0.007108494,15.973801182788444,8
2603090003484152064,113020,0.0050912923,16.073479035256895,8
2921973698674974592,33152,0.008469427,10.692670954060063,8
3520586071217872896,60965,0.02023796,12.769694093910955,8
4574048021719710848,84794,0.0058066864,13.808217468891844,8
5164120762333028736,17378,0.00885745,14.655883254349979,8
5330160246631998848,44511,0.002087996,15.587558759755414,8
5242895960110588160,50099,0.022302132,8.47107255718985,8
4110730486352950144,84970,0.54209316,0.35762536608519857,16
3897724469419137664,57380,0.027173925,12.845618483291277,8
4254395871029677952,93805,0.039172348,1.9298642737152913,8
4870527586937201408,20042,0.01145871,14.498966306910923,8
4109030160308317312,84405,0.014802559,6.540145032226802,72
