hip_source_id,gaia_source_id,angular_distance,number_of_neighbours,hip_hpmag,phot_g_mean_mag,gaia_g_minus_hip_hp,phot_bp_mean_mag,phot_rp_mean_mag,gaia_bp_minus_rp,hip_bv,hip_plx_mas,hip_plx_error_mas,hip_solution_type,has_processed_hip_row,r_pc,mag_abs,astrometry_quality,photometry_quality,gaia_g_finite,gaia_g_gt_processed_hip_hpmag_max
70140,5849469724599671808,0.5479271,1,8.2452,18.978346,10.733145713806152,,,,0.574,16.84,0.94,5,True,59.38242229085467,4.376910612659476,0.05581947678731817,0.12112826462848042,True,True
66464,1500988304272245376,1.2208723,1,8.526,18.971777,10.44577693939209,,,,0.507,14.97,0.8,5,True,66.80026601803704,4.402109063337291,0.05344021360393136,0.11596526352053103,True,True
54980,5235287717619415168,0.52697194,1,9.4665,18.936735,9.470234870910645,,,,0.0,17.18,0.95,15,True,58.20721667547058,5.641616118336519,0.05529685513409838,0.11999417564099348,True,True
95015,4201307051566731648,0.54493916,1,8.7341,18.468597,9.7344970703125,18.4049,16.803627,1.6012725830078125,0.841,20.35,1.01,5,True,49.140048259822606,5.276922450308277,0.049631448232450213,0.10770024266441695,True,True
103943,1844374616077813120,0.41446033,1,9.6418,18.243624,8.601823806762695,17.209583,16.286263,0.9233207702636719,0.894,22.53,1.48,5,True,44.38526275456208,6.4056059515568045,0.0656901897011812,0.1425477116515632,True,True
106150,6465381778690957952,1.4735451,1,7.7906,18.104506,10.313905715942383,,,,0.167,3.59,0.66,5,True,278.55153869787955,0.5660720139734936,0.18384402284275841,0.39894152956878576,True,True
70340,5892698020664009728,0.7338998,1,9.1545,17.987518,8.83301830291748,,,,0.7,8.41,1.3,15,True,118.90606638775456,3.778479947220573,0.15457788060677727,0.33543400091670666,True,True
67941,6115372730392935168,0.635254,1,9.0199,17.94495,8.925049781799316,15.748854,15.428781,0.32007312774658203,0.675,17.36,1.06,5,True,57.603684620295724,5.2176490025085265,0.061059902391217405,0.13249998818894176,True,True
14669,434690036551517952,0.035448547,1,10.1864,17.688393,7.501992225646973,18.131428,17.089506,1.041921615600586,1.473,63.45,1.94,15,True,15.76044114069159,9.198558571777156,0.030575256641345774,0.06634830691172032,True,True
79940,5935623366916545920,1.468232,1,7.3011,17.535992,10.234891891479492,,,,0.027,4.98,0.77,5,True,200.80321208246588,0.7872464993370452,0.15461846947337357,0.3355220787572206,True,True
102380,1761317885676619520,1.4508351,1,7.5927,17.237593,9.644892692565918,,,,0.039,5.78,0.92,5,True,173.01037434393047,1.402339275502606,0.15916954728273366,0.34539791760353206,True,True
4399,2580702091317005184,1.2886341,1,9.5846,16.367668,6.78306770324707,,,,1.102,0.9,1.39,5,True,1111.1111405565725,-0.6441870617193519,1.5444444694636787,3.351444498736183,True,True
48470,5249727019708013056,0.13965744,1,9.0936,15.426323,6.3327226638793945,,,,0.552,8.73,0.89,5,True,114.54754323860237,3.7986713777974916,0.10194731183993827,0.22122566669266605,True,True
83776,5924230948960952576,1.6919484,1,8.5069,15.31292,6.8060197830200195,,,,0.033,3.4,1.11,5,True,294.1176388097739,1.1642944797986345,0.32647058328542755,0.7084411657293778,True,True
94657,4185118873156482048,1.6378305,1,7.804,14.769332,6.96533203125,,,,0.0,4.07,0.52,5,True,245.70023533735556,0.8519720385306879,0.12776411768902932,0.2772481353851936,True,True
113961,6554467200068115584,1.0916457,1,10.1434,14.701323,4.55792236328125,,,,0.522,4.47,1.51,5,True,223.71365703375233,3.394937705998041,0.3378076199861557,0.7330425353699579,True,True
78973,6035277122238959104,0.9426636,1,7.9939,14.618944,6.625044345855713,,,,0.149,7.82,1.07,7,True,127.87723504489055,2.459933635201603,0.13682864820510143,0.2969181666050701,True,True
